Time,Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
0.0,591.9323860864461,4.261358140781053,3.581892595455183,2.3906426955159787,88.15842499816033,85.45398695117484,0
1.0,876.884949246488,3.9760074073023834,5.054130293174897,1.4581548825655015,76.31878039305575,73.78458596893027,0
2.0,490.36225062299775,3.7882530037360875,9.360939828269991,2.122554366574118,77.69076484661899,64.99338374952393,0
3.0,904.7921701929248,3.9605840986911174,4.764236391408735,2.992603226305431,78.06438508608343,82.91415786441007,0
4.0,500.054685333899,4.0521789178765095,4.392151860662709,1.9665287017077833,75.04360591917047,71.54676894003491,0
5.0,1156.0258749316388,2.396521327059851,6.09410470113666,4.754852105174312,76.26104426010355,78.1995193785367,0
6.0,856.1646798915414,4.272853415251061,4.35982991159024,2.3340020809460045,76.82819428449322,88.2000366582093,0
7.0,903.1173198285263,4.251281465785928,6.023081298538326,2.465980623863252,76.72191480823108,72.64219696883113,0
8.0,572.8121832086316,3.4155768962047186,4.244197384588853,1.1154162659121312,77.01725657916717,80.13845817195953,0
9.0,806.0172152297212,3.993124283802046,8.140301472281608,2.629452104898599,87.49510892857735,86.0579647699631,0
10.0,351.7426835461854,1.7027579333520737,4.371238427288429,1.5878157968173872,77.16362282403063,89.13576039631442,0
11.0,793.9171662748865,4.82499270781947,4.947898809657037,4.927669439307706,77.61115922088231,84.01541640526139,0
12.0,677.0333080047524,3.7123899757064396,3.8539871516264377,1.72379245931929,76.55918274517974,83.71850436801374,0
13.0,548.8188124902335,3.588443580279774,5.59429522739825,1.3557301446872476,76.20646706585596,75.92638254474429,0
14.0,738.3275571423148,2.002731185626619,5.871953892963888,2.4657752109517896,76.00532453130698,82.7583276016693,0
15.0,1108.561404965258,2.773729860628223,7.602502372380973,4.526339276861724,76.02404981626037,80.04013299228926,0
16.0,957.2642995120946,2.2438228325419116,6.05653262369798,2.110614899922076,77.49585349148133,78.40423768358914,0
17.0,914.2020035903641,4.106726029661842,4.474428836422953,2.381540042790188,88.24242615945703,77.73687941710742,0
18.0,1203.5176783745073,3.632559255859159,12.116422086938057,1.3684117489101688,81.54810543031148,87.46192169534353,0
19.0,578.1455972530094,3.3305545599116955,3.6628468883820373,1.4263346299585788,76.32515611249289,77.31469690518628,0
20.0,755.634456073813,4.16884181132394,10.771501285265803,1.420957350448383,82.41611376036862,86.6767087445001,0
21.0,563.2250078399416,3.2140061466206107,3.5472182869256605,1.5449746249636236,77.2067671558523,73.31437581762414,0
22.0,900.3883214077039,0.5311434754893272,5.111810195350623,4.11236966346346,82.81789560295819,76.79430935049034,0
23.0,875.5306856599216,2.159032179330157,5.540207210450863,2.466854967726751,74.53310694347002,87.19793705155242,0
24.0,656.5423620948784,3.180134289008243,7.111856533658033,0.9196868838725125,76.28591303065815,73.27469996702588,0
